rating,specs_score,likes,disp_diag,camera,storage,ram,battery_capacity,disp_height,disp_width,oper_syst_vers,year_of_release,log_price,density,Other_oper_syst,battery_type_LiPo,brand_BlackBerry,brand_Cubot,brand_Gionee,brand_Google,brand_HTC,brand_Honor,brand_Hotwav,brand_Huawei,brand_Infinix,brand_LG,brand_Lava,brand_Lenovo,brand_Motorola,brand_Nokia,brand_OnePlus,brand_Oppo,brand_Realme,brand_Samsung,brand_Sony,brand_Tecno,brand_Vivo,brand_Xiaomi,hat_log_price
4.0,56,13,6.0,8.0,64.0,4.0,4000.0,1440.0,720.0,7,2017,9.672815734801127,172800.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.551464222370202
4.5,69,8,6.01,8.0,64.0,6.0,4000.0,2160.0,1080.0,7,2017,9.672815734801127,388153.078202995,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.794167247248508
4.3,100,30,6.4,20.0,128.0,6.0,6000.0,2340.0,1080.0,10,2020,9.979985523508853,394875.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.335174960717673
3.8,94,31,6.4,20.0,64.0,4.0,6000.0,2340.0,1080.0,10,2020,10.021226142760383,394875.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.06151087772691
3.8,98,31,6.4,20.0,128.0,6.0,5000.0,2400.0,1080.0,10,2020,10.126591103050316,405000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.350992782490495
5.0,90,15,6.4,20.0,64.0,4.0,5000.0,2400.0,1080.0,10,2020,10.106387579373278,405000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.191292450512663
4.0,54,13,6.4,8.0,32.0,3.0,4000.0,1560.0,720.0,10,2020,9.495444123413163,175500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.85239962805382
3.7,53,16,6.4,8.0,32.0,2.0,4000.0,1560.0,720.0,10,2020,9.61573881119536,175500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.7771675460143
3.7,100,84,6.4,32.0,128.0,6.0,6000.0,2340.0,1080.0,10,2020,10.165813354725493,394875.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.37596487303476
3.5,100,22,6.4,32.0,64.0,6.0,6000.0,2340.0,1080.0,10,2020,10.19802109993701,394875.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.246552286097526
5.0,82,19,6.7,10.0,256.0,8.0,3300.0,2636.0,1080.0,10,2020,11.60822655382414,424907.46268656716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.802455606245124
3.9,100,70,6.9,40.0,128.0,12.0,5000.0,3200.0,1440.0,10,2020,11.561706105284784,667826.0869565217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.941028408919962
4.1,55,39,6.7,10.0,128.0,8.0,4500.0,3200.0,1440.0,10,2020,11.225230059096225,687761.1940298508,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.546495515691854
4.3,78,28,6.2,10.0,128.0,8.0,4000.0,3200.0,1440.0,10,2020,11.184407509012852,743225.8064516129,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.622153774651188
4.2,100,36,6.7,32.0,128.0,8.0,4500.0,2400.0,1080.0,10,2020,10.74718608596786,386865.671641791,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.583969215241225
4.2,77,19,6.7,32.0,128.0,8.0,4500.0,2400.0,1080.0,10,2020,10.714395546283317,386865.671641791,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.587907146851308
3.8,73,26,6.7,32.0,128.0,6.0,4500.0,2400.0,1080.0,10,2020,10.691922185369403,386865.671641791,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.450155553783759
3.9,92,58,6.5,32.0,128.0,4.0,4000.0,2400.0,1080.0,10,2019,10.281889741094604,398769.23076923075,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.336627656546657
4.3,50,24,5.7,5.0,16.0,2.0,3000.0,1560.0,720.0,10,2019,9.305559638557117,197052.63157894736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.76192545378277
3.8,100,90,6.7,32.0,128.0,8.0,4500.0,2400.0,1080.0,10,2019,10.568723822335235,386865.671641791,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.510772367701158
4.0,100,30,6.7,32.0,128.0,6.0,4500.0,2400.0,1080.0,10,2019,10.591597065328735,386865.671641791,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.42737350018023
3.8,95,58,6.5,32.0,128.0,6.0,4000.0,2400.0,1080.0,10,2019,10.292111643448266,398769.23076923075,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.440397213244506
3.5,74,47,6.3,16.0,64.0,4.0,3500.0,2340.0,1080.0,9,2019,10.085809109330082,401142.85714285716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.08767954149728
4.0,100,54,6.7,32.0,128.0,8.0,4500.0,2400.0,1080.0,9,2019,10.404262840448617,386865.671641791,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.532055731040487
3.0,58,52,6.5,8.0,64.0,4.0,4000.0,1560.0,720.0,9,2019,9.758403975346978,172800.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.86058816581099
3.5,54,57,6.5,8.0,32.0,3.0,4000.0,1560.0,720.0,9,2019,9.746775261248594,172800.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.771254533331847
3.3,100,113,6.4,16.0,128.0,6.0,6000.0,2400.0,1080.0,9,2019,10.146394514691288,405000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.190381247879442
4.1,94,98,6.4,16.0,64.0,4.0,6000.0,2400.0,1080.0,9,2019,9.975808214115753,405000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.004560844770925
2.8,53,30,6.4,8.0,32.0,3.0,4000.0,1560.0,720.0,9,2019,9.642057851228413,175500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.702799185002592
3.7,70,77,6.4,16.0,128.0,4.0,4000.0,1560.0,720.0,9,2019,9.998752276761909,175500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.096145502976395
1.8,67,58,6.4,16.0,64.0,4.0,4000.0,1560.0,720.0,9,2019,9.9281801651265,175500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.84674644609318
3.8,63,28,6.4,16.0,32.0,3.0,4000.0,1560.0,720.0,9,2019,10.056165720177834,175500.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.86260192522553
3.9,95,69,6.4,32.0,128.0,6.0,4000.0,2340.0,1080.0,9,2019,10.239924074233857,394875.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.44507633493322
4.8,88,20,6.4,32.0,64.0,4.0,4000.0,2340.0,1080.0,9,2019,10.106387579373278,394875.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.273603902068563
4.5,100,34,6.8,10.0,512.0,12.0,4300.0,3040.0,1440.0,9,2019,10.714395546283317,643764.705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.49694407698407
2.7,92,73,6.8,10.0,256.0,12.0,4300.0,3040.0,1440.0,9,2019,10.714395546283317,643764.705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.848091107698556
2.3,100,30,6.8,10.0,512.0,12.0,4300.0,3040.0,1440.0,9,2019,10.714395546283317,643764.705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.355484294606304
4.0,92,53,6.8,10.0,256.0,12.0,4300.0,3040.0,1440.0,9,2019,11.326583838513384,643764.705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.93686135972436
4.1,81,31,6.3,10.0,256.0,8.0,3500.0,2280.0,1080.0,9,2019,11.184407509012852,390857.14285714284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.65919147175492
4.2,60,46,5.9,25.0,64.0,4.0,3100.0,2340.0,1080.0,9,2019,9.998752276761909,428338.9830508474,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.242535636696504
4.3,81,44,6.3,16.0,128.0,6.0,3500.0,2340.0,1080.0,9,2019,10.184900011974314,401142.85714285716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.381223231630912
4.3,81,92,6.3,16.0,128.0,6.0,3500.0,2340.0,1080.0,9,2019,10.126631103850338,401142.85714285716,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.370104365908325
