rating,disp_diag,camera,storage,ram,battery_capacity,disp_height,disp_width,oper_syst_vers,year_of_release,log_price,density,Other_oper_syst,IOS_oper_syst,battery_type_LiIon,battery_type_LiPo,brand_Apple,brand_BlackBerry,brand_Cubot,brand_Gionee,brand_Google,brand_HTC,brand_Honor,brand_Huawei,brand_Infinix,brand_LG,brand_Lava,brand_Lenovo,brand_Motorola,brand_Nokia,brand_OnePlus,brand_Oppo,brand_Realme,brand_Samsung,brand_Sony,brand_Tecno,brand_Vivo,brand_Xiaomi
4.0,6.0,8.0,64.0,4.0,4000.0,1440.0,720.0,7,2017,9.672815734801127,28800.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.5,6.01,8.0,64.0,6.0,4000.0,2160.0,1080.0,7,2017,9.672815734801127,64584.53880249501,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3,6.4,20.0,128.0,6.0,6000.0,2340.0,1080.0,10,2020,9.979985523508853,61699.218749999985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.8,6.4,20.0,64.0,4.0,6000.0,2340.0,1080.0,10,2020,10.021226142760383,61699.218749999985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.8,6.4,20.0,128.0,6.0,5000.0,2400.0,1080.0,10,2020,10.126591103050316,63281.249999999985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.0,6.4,20.0,64.0,4.0,5000.0,2400.0,1080.0,10,2020,10.106387579373278,63281.249999999985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,6.4,8.0,32.0,3.0,4000.0,1560.0,720.0,10,2020,9.495444123413163,27421.874999999996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.7,6.4,8.0,32.0,2.0,4000.0,1560.0,720.0,10,2020,9.61573881119536,27421.874999999996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.7,6.4,32.0,128.0,6.0,6000.0,2340.0,1080.0,10,2020,10.165813354725493,61699.218749999985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.5,6.4,32.0,64.0,6.0,6000.0,2340.0,1080.0,10,2020,10.19802109993701,61699.218749999985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.0,6.7,10.0,256.0,8.0,3300.0,2636.0,1080.0,10,2020,11.60822655382414,63419.024281577185,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.9,6.9,40.0,128.0,12.0,5000.0,3200.0,1440.0,10,2020,11.561706105284784,96786.38941398864,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.1,6.7,10.0,128.0,8.0,4500.0,3200.0,1440.0,10,2020,11.225230059096225,102650.92448206728,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.3,6.2,10.0,128.0,8.0,4000.0,3200.0,1440.0,10,2020,11.184407509012852,119875.13007284078,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.2,6.7,32.0,128.0,8.0,4500.0,2400.0,1080.0,10,2020,10.74718608596786,57741.14502116284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.2,6.7,32.0,128.0,8.0,4500.0,2400.0,1080.0,10,2020,10.714395546283317,57741.14502116284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.8,6.7,32.0,128.0,6.0,4500.0,2400.0,1080.0,10,2020,10.691922185369403,57741.14502116284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.9,6.5,32.0,128.0,4.0,4000.0,2400.0,1080.0,10,2019,10.281889741094604,61349.112426035506,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.3,5.7,5.0,16.0,2.0,3000.0,1560.0,720.0,10,2019,9.305559638557117,34570.63711911357,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.8,6.7,32.0,128.0,8.0,4500.0,2400.0,1080.0,10,2019,10.568723822335235,57741.14502116284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,6.7,32.0,128.0,6.0,4500.0,2400.0,1080.0,10,2019,10.591597065328735,57741.14502116284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.8,6.5,32.0,128.0,6.0,4000.0,2400.0,1080.0,10,2019,10.292111643448266,61349.112426035506,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.5,6.3,16.0,64.0,4.0,3500.0,2340.0,1080.0,9,2019,10.085809109330082,63673.4693877551,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,6.7,32.0,128.0,8.0,4500.0,2400.0,1080.0,9,2019,10.404262840448617,57741.14502116284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,6.5,8.0,64.0,4.0,4000.0,1560.0,720.0,9,2019,9.758403975346978,26584.615384615383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.5,6.5,8.0,32.0,3.0,4000.0,1560.0,720.0,9,2019,9.746775261248594,26584.615384615383,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
