phone_title,const,rating,disp_diag,camera,storage,ram,battery_capacity,year_of_release,log_price,density,Other_oper_syst,battery_type_LiPo,brand_Apple,brand_BlackBerry,brand_Cubot,brand_Gionee,brand_Google,brand_HTC,brand_Honor,brand_Huawei,brand_Infinix,brand_LG,brand_Lava,brand_Lenovo,brand_Motorola,brand_Nokia,brand_OnePlus,brand_Oppo,brand_Realme,brand_Samsung,brand_Sony,brand_Tecno,brand_Vivo
Gionee M7 Power,1.0,4.0,6.0,8.0,64.0,4.0,4.0,2017,9.672815734801127,2.88,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gionee M7,1.0,4.5,6.01,8.0,64.0,6.0,4.0,2017,9.672815734801127,6.4584538802495,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samsung Galaxy M21 6GB/128GB,1.0,4.3,6.4,20.0,128.0,6.0,6.0,2020,9.979985523508853,6.169921874999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy M21 4GB/64GB,1.0,3.8,6.4,20.0,64.0,4.0,6.0,2020,10.021226142760383,6.169921874999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A31 6GB/128GB,1.0,3.8,6.4,20.0,128.0,6.0,5.0,2020,10.126591103050316,6.328124999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A31 4GB/64GB,1.0,5.0,6.4,20.0,64.0,4.0,5.0,2020,10.106387579373278,6.328124999999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A11 3GB/32GB,1.0,4.0,6.4,8.0,32.0,3.0,4.0,2020,9.495444123413163,2.7421874999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy A11 2GB/32GB,1.0,3.7,6.4,8.0,32.0,2.0,4.0,2020,9.61573881119536,2.7421874999999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy M31 6GB/128GB,1.0,3.7,6.4,32.0,128.0,6.0,6.0,2020,10.165813354725493,6.169921874999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Samsung Galaxy M31 6GB/64GB,1.0,3.5,6.4,32.0,64.0,6.0,6.0,2020,10.19802109993701,6.169921874999998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
